u,v,length,from,to,geometry
611011422,6093416441,12.4459898,6093416441,611011422,"LINESTRING (100.3823856 -0.9903108, 100.382296 -0.9902437)"
611011422,6093416429,136.0371576,611011422,6093416429,"LINESTRING (100.382296 -0.9902437, 100.3826246 -0.9896792, 100.3828606 -0.9893037, 100.3829303 -0.9891978)"
611011422,7587901552,153.06029,7587901552,611011422,"LINESTRING (100.3815021 -0.9913527, 100.3817944 -0.9910603, 100.3818696 -0.9909598, 100.3820009 -0.9907761, 100.3821296 -0.9905763, 100.3822396 -0.9904019, 100.382296 -0.9902437)"
611011430,6093420871,44.88956069,6093420871,611011430,"LINESTRING (100.3804493 -0.9767474, 100.3801441 -0.9770117)"
611011430,1568096492,176.5215105,1568096492,611011430,"LINESTRING (100.3809967 -0.978349, 100.3805914 -0.9776472, 100.3801441 -0.9770117)"
611011430,1568072082,115.3414901,1568072082,611011430,"LINESTRING (100.3794223 -0.976271, 100.3798043 -0.9766053, 100.3801441 -0.9770117)"
611011443,1568059364,51.4102236,1568059364,611011443,"LINESTRING (100.378061 -0.9736575, 100.3780975 -0.9731966)"
611011443,1567794446,144.339982,1567794446,611011443,"LINESTRING (100.3781762 -0.971909, 100.3781237 -0.9720609, 100.3781131 -0.9722246, 100.3781292 -0.972415, 100.3781132 -0.9728156, 100.3780975 -0.9731966)"
611011443,6167413895,72.00108524,6167413895,611011443,"LINESTRING (100.3787259 -0.9733468, 100.3783028 -0.9732245, 100.3780975 -0.9731966)"
611011448,1568072082,141.9571789,1568072082,611011448,"LINESTRING (100.3794223 -0.976271, 100.3783957 -0.9755119)"
611011448,6092851292,36.1527813,6092851292,611011448,"LINESTRING (100.37862 -0.9752765, 100.3783957 -0.9755119)"
611011448,1568059434,58.70949089,1568059434,611011448,"LINESTRING (100.3780237 -0.975141, 100.3782486 -0.9754012, 100.3783957 -0.9755119)"
611011469,1543260266,5.715019655,1543260266,611011469,"LINESTRING (100.3739088 -0.9569107, 100.3738574 -0.9569101)"
611011469,1783990994,57.22238975,1783990994,611011469,"LINESTRING (100.3733435 -0.9568817, 100.3738574 -0.9569101)"
611011469,6095339230,109.7473575,6095339230,611011469,"LINESTRING (100.3739002 -0.9578957, 100.3738977 -0.95786, 100.3738613 -0.9573413, 100.3738574 -0.9569101)"
611011471,1543254503,52.79170421,1543254503,611011471,"LINESTRING (100.3752076 -0.9566633, 100.375084 -0.9571217)"
611011471,1543260398,86.63566667,1543260398,611011471,"LINESTRING (100.3758241 -0.9573655, 100.3755797 -0.9572868, 100.375084 -0.9571217)"
611011471,6095339234,54.60445476,6095339234,611011471,"LINESTRING (100.3746112 -0.9569893, 100.3747311 -0.9570231, 100.3748591 -0.957064, 100.375084 -0.9571217)"
611011471,1543260462,65.22748835,1543260462,611011471,"LINESTRING (100.3749348 -0.9576831, 100.3749347 -0.9575993, 100.3749454 -0.9575027, 100.3749964 -0.9573445, 100.375084 -0.9571217)"
611011480,6093105334,78.58136795,6093105334,611011480,"LINESTRING (100.3779613 -0.958472, 100.3778811 -0.9583931, 100.3778442 -0.9583589, 100.3777832 -0.9583153, 100.3773904 -0.9580591)"
611011480,6095473936,154.2399441,6095473936,611011480,"LINESTRING (100.3761235 -0.957494, 100.3764885 -0.9576507, 100.3773904 -0.9580591)"
611011480,1543265892,140.0365247,1543265892,611011480,"LINESTRING (100.3771402 -0.9570903, 100.3775042 -0.9574611, 100.3776609 -0.9576477, 100.3776624 -0.9576541, 100.3776624 -0.9576633, 100.3776577 -0.9576731, 100.3774995 -0.9578981, 100.3773904 -0.9580591)"
611243585,1540180727,44.13768926,1540180727,611243585,"LINESTRING (100.3564674 -0.9656409, 100.3568505 -0.9655368)"
611243585,6093140825,101.5379803,6093140825,611243585,"LINESTRING (100.3576918 -0.9651817, 100.3572911 -0.9653578, 100.3568505 -0.9655368)"
611243585,12842173783,87.01770762,12842173783,611243585,"LINESTRING (100.356752 -0.9648415, 100.3567238 -0.9648563, 100.356693 -0.9648777, 100.3566715 -0.9648965, 100.3566474 -0.9649314, 100.3566474 -0.964981, 100.3566568 -0.9650293, 100.3566795 -0.9650815, 100.3567976 -0.965378, 100.3568271 -0.9654677, 100.3568505 -0.9655368)"
611243588,6093108364,52.6872577,6093108364,611243588,"LINESTRING (100.3552284 -0.9658553, 100.3547554 -0.9658844)"
611243588,1540180201,303.7626776,1540180201,611243588,"LINESTRING (100.3522479 -0.965036, 100.3523867 -0.9652008, 100.3525527 -0.965316, 100.352722 -0.9654167, 100.3530995 -0.9655945, 100.353351 -0.965697, 100.3535176 -0.9657575, 100.3538579 -0.9658472, 100.3540264 -0.9658731, 100.3540751 -0.9658737, 100.3542871 -0.9658767, 100.3544841 -0.9658815, 100.3545377 -0.9658833, 100.3547554 -0.9658844)"
611243588,6095074414,111.3232544,6095074414,611243588,"LINESTRING (100.3551185 -0.9651875, 100.3548087 -0.9652184, 100.3547711 -0.9652425, 100.3547537 -0.9652867, 100.3547554 -0.9658844)"
611243594,1543364721,60.41611206,611243594,1543364721,"LINESTRING (100.3625388 -0.9619695, 100.3628135 -0.9624383)"
611243594,1541514919,62.45116099,1541514919,611243594,"LINESTRING (100.3629696 -0.9616092, 100.3625872 -0.9619327, 100.3625388 -0.9619695)"
611243594,1543364698,43.98679918,1543364698,611243594,"LINESTRING (100.3622609 -0.962247, 100.362282 -0.9622053, 100.3623074 -0.9621765, 100.3625388 -0.9619695)"
611243595,1543364811,46.88022509,611243595,1543364811,"LINESTRING (100.3630563 -0.9628878, 100.3626943 -0.963104)"
611243595,1543364741,71.01349124,1543364741,611243595,"LINESTRING (100.3636018 -0.9625556, 100.3631457 -0.9628346, 100.3631033 -0.9628605, 100.3630563 -0.9628878)"
611243595,1543364721,56.8059378,1543364721,611243595,"LINESTRING (100.3628135 -0.9624383, 100.3630563 -0.9628878)"
611243597,1623126695,129.5956838,1623126695,611243597,"LINESTRING (100.3616373 -0.9564741, 100.3616001 -0.9567263, 100.3614941 -0.9572292, 100.3614593 -0.957386, 100.3614096 -0.9576167)"
611243597,611243602,157.3787544,611243597,611243602,"LINESTRING (100.3614096 -0.9576167, 100.3616296 -0.9577977, 100.3618039 -0.9579613, 100.3618991 -0.9580699, 100.3619622 -0.9581463, 100.3620373 -0.9582617, 100.3621405 -0.958436, 100.3622197 -0.9585902, 100.3622941 -0.9587021)"
611243597,1543401226,33.73571917,1543401226,611243597,"LINESTRING (100.3612911 -0.957896, 100.3614096 -0.9576167)"
611243597,1623126697,126.3488587,1623126697,611243597,"LINESTRING (100.3608484 -0.9566338, 100.361018 -0.956965, 100.3612232 -0.9573798, 100.3614096 -0.9576167)"
611243602,10696414747,8.709551989,611243602,10696414747,"LINESTRING (100.3622941 -0.9587021, 100.362225 -0.958739)"
611243602,1541512956,40.70186749,1541512956,611243602,"LINESTRING (100.3625334 -0.9584304, 100.362493 -0.9584992, 100.3624436 -0.9585634, 100.3623712 -0.9586465, 100.3622941 -0.9587021)"
611243608,6082377906,29.73707435,611243608,6082377906,"LINESTRING (100.3589523 -0.9542872, 100.3590318 -0.9541896, 100.3591394 -0.9540976)"
