osmid,y,x,geometry,status,ETA
6076245525,-0.8734228,100.3707048,POINT (100.3707048 -0.8734228),intersection,59.36050285
6076245528,-0.8749911,100.3704078,POINT (100.3704078 -0.8749911),intersection,59.32510592
6076245529,-0.8753049,100.3704802,POINT (100.3704802 -0.8753049),intersection,59.32414561
6076245530,-0.8751936,100.3708255,POINT (100.3708255 -0.8751936),intersection,59.34025887
6076245532,-0.8737406,100.3700182,POINT (100.3700182 -0.8737406),intersection,59.32721439
6076245533,-0.8739068,100.3700795,POINT (100.3700795 -0.8739068),intersection,59.3276736
6076245536,-0.8754723,100.3682554,POINT (100.3682554 -0.8754723),intersection,59.22740214
6076245541,-0.8747918,100.369904,POINT (100.369904 -0.8747918),intersection,59.30625478
6076245542,-0.8749202,100.3694719,POINT (100.3694719 -0.8749202),intersection,59.28623103
6076245545,-0.8734041,100.3705385,POINT (100.3705385 -0.8734041),intersection,59.35367628
6076268971,-0.88561,100.3672628,POINT (100.3672628 -0.88561),intersection,60.08776124
6076270292,-0.8953064,100.3641522,POINT (100.3641522 -0.8953064),intersection,59.87155662
6076270301,-0.8945655,100.3638471,POINT (100.3638471 -0.8945655),intersection,59.86759259
6076270302,-0.8940127,100.3653708,POINT (100.3653708 -0.8940127),intersection,59.94073988
6076270997,-0.8845762,100.369581,POINT (100.369581 -0.8845762),intersection,60.19850568
6076271466,-0.8845628,100.3700075,POINT (100.3700075 -0.8845628),intersection,60.22014035
6076271467,-0.8861384,100.3670409,POINT (100.3670409 -0.8861384),intersection,60.07138319
6076271536,-0.883785,100.3699404,POINT (100.3699404 -0.883785),intersection,60.2242243
6076271538,-0.8851099,100.3667835,POINT (100.3667835 -0.8851099),intersection,60.07042147
6076271541,-0.8850401,100.3663918,POINT (100.3663918 -0.8850401),intersection,60.05434063
6076286805,-0.8731526,100.3750205,POINT (100.3750205 -0.8731526),intersection,59.54488729
6076286806,-0.8732338,100.3748252,POINT (100.3748252 -0.8732338),intersection,59.53553842
6076286815,-0.8739017,100.3749441,POINT (100.3749441 -0.8739017),intersection,59.5319929
6076286816,-0.8739889,100.3747766,POINT (100.3747766 -0.8739889),intersection,59.52374932
6076286819,-0.8738978,100.3760505,POINT (100.3760505 -0.8738978),intersection,59.57908602
6076286827,-0.8734758,100.3781882,POINT (100.3781882 -0.8734758),intersection,59.67540806
6076286828,-0.8723558,100.3774315,POINT (100.3774315 -0.8723558),intersection,59.65765015
6076286832,-0.8725895,100.3770217,POINT (100.3770217 -0.8725895),intersection,59.63721722
6076286834,-0.8747926,100.3769973,POINT (100.3769973 -0.8747926),intersection,59.60786184
6076286835,-0.8735369,100.3758911,POINT (100.3758911 -0.8735369),intersection,59.57695058
6076286836,-0.8738899,100.3752291,POINT (100.3752291 -0.8738899),intersection,59.54426227
6076286842,-0.8739761,100.3742595,POINT (100.3742595 -0.8739761),intersection,59.50192849
6076286843,-0.874458,100.3750018,POINT (100.3750018 -0.874458),intersection,59.5272937
6076306270,-0.8820115,100.3710029,POINT (100.3710029 -0.8820115),intersection,60.29136438
6076306271,-0.8849992,100.3700738,POINT (100.3700738 -0.8849992),intersection,60.21742899
6076306364,-0.8824065,100.3727983,POINT (100.3727983 -0.8824065),intersection,60.36576426
6076306501,-0.8813821,100.3715148,POINT (100.3715148 -0.8813821),intersection,60.3199315
6076306919,-0.8821558,100.372455,POINT (100.372455 -0.8821558),intersection,60.3524183
6076311294,-0.8961683,100.365322,POINT (100.365322 -0.8961683),intersection,59.92321373
6076311296,-0.8959063,100.3652028,POINT (100.3652028 -0.8959063),intersection,59.90970916
6076328940,-0.8806157,100.3751271,POINT (100.3751271 -0.8806157),intersection,60.48628012
6076330478,-0.8747584,100.3834953,POINT (100.3834953 -0.8747584),intersection,59.88472427
6076330481,-0.8745737,100.3834352,POINT (100.3834352 -0.8745737),intersection,59.8845249
6076331490,-0.8745157,100.3835718,POINT (100.3835718 -0.8745157),intersection,59.89107738
6076331491,-0.8729565,100.3812439,POINT (100.3812439 -0.8729565),intersection,59.81201925
6076331492,-0.8728202,100.3811087,POINT (100.3811087 -0.8728202),intersection,59.80801989
6076331650,-0.8810522,100.3752773,POINT (100.3752773 -0.8810522),intersection,60.48888883
6076331693,-0.8822014,100.3740428,POINT (100.3740428 -0.8822014),intersection,60.42232483
